delta,timestamp
36,2022-02-07 22:49:24.731155
25,2022-02-07 22:49:24.757146
30,2022-02-07 22:49:24.788145
29,2022-02-07 22:49:24.817147
30,2022-02-07 22:49:24.849146
33,2022-02-07 22:49:24.881145
34,2022-02-07 22:49:24.916145
34,2022-02-07 22:49:24.950151
32,2022-02-07 22:49:24.982404
33,2022-02-07 22:49:25.015405
35,2022-02-07 22:49:25.051096
34,2022-02-07 22:49:25.085126
40,2022-02-07 22:49:25.125172
32,2022-02-07 22:49:25.159157
36,2022-02-07 22:49:25.196157
37,2022-02-07 22:49:25.233158
38,2022-02-07 22:49:25.271159
36,2022-02-07 22:49:25.308158
38,2022-02-07 22:49:25.346160
36,2022-02-07 22:49:25.384158
40,2022-02-07 22:49:25.423178
22,2022-02-07 22:49:25.446159
20,2022-02-07 22:49:25.467159
13,2022-02-07 22:49:25.480160
24,2022-02-07 22:49:25.506161
15,2022-02-07 22:49:25.520161
22,2022-02-07 22:49:25.543160
14,2022-02-07 22:49:25.557163
21,2022-02-07 22:49:25.579158
21,2022-02-07 22:49:25.600158
34,2022-02-07 22:49:25.634161
35,2022-02-07 22:49:25.670158
35,2022-02-07 22:49:25.706158
38,2022-02-07 22:49:25.744159
32,2022-02-07 22:49:25.777157
43,2022-02-07 22:49:25.820159
38,2022-02-07 22:49:25.858168
25,2022-02-07 22:49:25.884160
23,2022-02-07 22:49:25.908157
26,2022-02-07 22:49:25.935158
27,2022-02-07 22:49:25.961159
30,2022-02-07 22:49:25.991159
36,2022-02-07 22:49:26.028157
28,2022-02-07 22:49:26.056159
31,2022-02-07 22:49:26.088158
36,2022-02-07 22:49:26.125157
33,2022-02-07 22:49:26.158158
34,2022-02-07 22:49:26.192175
30,2022-02-07 22:49:26.224159
32,2022-02-07 22:49:26.255238
31,2022-02-07 22:49:26.287160
33,2022-02-07 22:49:26.321160
37,2022-02-07 22:49:26.358219
34,2022-02-07 22:49:26.392220
36,2022-02-07 22:49:26.429219
31,2022-02-07 22:49:26.462163
31,2022-02-07 22:49:26.493158
37,2022-02-07 22:49:26.530163
30,2022-02-07 22:49:26.561158
23,2022-02-07 22:49:26.585157
25,2022-02-07 22:49:26.611157
23,2022-02-07 22:49:26.634160
26,2022-02-07 22:49:26.661158
28,2022-02-07 22:49:26.691159
37,2022-02-07 22:49:26.728157
32,2022-02-07 22:49:26.760159
56,2022-02-07 22:49:26.816159
37,2022-02-07 22:49:26.854159
36,2022-02-07 22:49:26.890159
36,2022-02-07 22:49:26.926159
35,2022-02-07 22:49:26.962159
36,2022-02-07 22:49:26.998383
37,2022-02-07 22:49:27.035527
34,2022-02-07 22:49:27.070523
37,2022-02-07 22:49:27.107763
44,2022-02-07 22:49:27.152744
31,2022-02-07 22:49:27.183763
35,2022-02-07 22:49:27.219743
36,2022-02-07 22:49:27.256742
44,2022-02-07 22:49:27.301687
29,2022-02-07 22:49:27.330691
38,2022-02-07 22:49:27.369685
33,2022-02-07 22:49:27.403682
36,2022-02-07 22:49:27.439685
34,2022-02-07 22:49:27.474685
33,2022-02-07 22:49:27.507876
34,2022-02-07 22:49:27.541884
35,2022-02-07 22:49:27.576918
34,2022-02-07 22:49:27.611020
33,2022-02-07 22:49:27.645146
34,2022-02-07 22:49:27.678199
38,2022-02-07 22:49:27.717085
33,2022-02-07 22:49:27.750159
41,2022-02-07 22:49:27.791193
35,2022-02-07 22:49:27.827864
32,2022-02-07 22:49:27.858924
34,2022-02-07 22:49:27.893866
34,2022-02-07 22:49:27.928865
33,2022-02-07 22:49:27.961866
24,2022-02-07 22:49:27.986864
26,2022-02-07 22:49:28.012867
24,2022-02-07 22:49:28.036867
26,2022-02-07 22:49:28.062920
24,2022-02-07 22:49:28.087868
32,2022-02-07 22:49:28.120865
27,2022-02-07 22:49:28.148864
32,2022-02-07 22:49:28.181864
34,2022-02-07 22:49:28.216867
36,2022-02-07 22:49:28.253021
38,2022-02-07 22:49:28.290077
32,2022-02-07 22:49:28.322301
35,2022-02-07 22:49:28.358622
39,2022-02-07 22:49:28.397868
30,2022-02-07 22:49:28.427825
33,2022-02-07 22:49:28.460892
34,2022-02-07 22:49:28.495887
33,2022-02-07 22:49:28.529871
34,2022-02-07 22:49:28.564810
32,2022-02-07 22:49:28.597807
35,2022-02-07 22:49:28.632810
33,2022-02-07 22:49:28.666810
35,2022-02-07 22:49:28.701810
33,2022-02-07 22:49:28.735808
38,2022-02-07 22:49:28.773811
33,2022-02-07 22:49:28.806869
34,2022-02-07 22:49:28.841809
34,2022-02-07 22:49:28.875809
35,2022-02-07 22:49:28.910811
36,2022-02-07 22:49:28.946868
35,2022-02-07 22:49:28.982809
32,2022-02-07 22:49:29.015808
34,2022-02-07 22:49:29.049809
38,2022-02-07 22:49:29.087929
35,2022-02-07 22:49:29.122952
34,2022-02-07 22:49:29.157949
38,2022-02-07 22:49:29.195952
30,2022-02-07 22:49:29.227948
35,2022-02-07 22:49:29.261949
34,2022-02-07 22:49:29.296949
34,2022-02-07 22:49:29.330950
30,2022-02-07 22:49:29.361950
28,2022-02-07 22:49:29.390950
32,2022-02-07 22:49:29.423949
37,2022-02-07 22:49:29.460951
27,2022-02-07 22:49:29.488950
28,2022-02-07 22:49:29.516950
28,2022-02-07 22:49:29.545949
31,2022-02-07 22:49:29.576951
33,2022-02-07 22:49:29.610950
31,2022-02-07 22:49:29.642949
34,2022-02-07 22:49:29.677949
35,2022-02-07 22:49:29.712949
34,2022-02-07 22:49:29.747949
36,2022-02-07 22:49:29.782958
33,2022-02-07 22:49:29.816948
35,2022-02-07 22:49:29.851948
36,2022-02-07 22:49:29.887948
36,2022-02-07 22:49:29.923977
34,2022-02-07 22:49:29.958167
35,2022-02-07 22:49:29.993170
33,2022-02-07 22:49:30.026176
36,2022-02-07 22:49:30.063168
35,2022-02-07 22:49:30.098168
34,2022-02-07 22:49:30.133168
36,2022-02-07 22:49:30.169185
35,2022-02-07 22:49:30.206168
23,2022-02-07 22:49:30.229168
20,2022-02-07 22:49:30.249184
19,2022-02-07 22:49:30.270168
14,2022-02-07 22:49:30.283179
25,2022-02-07 22:49:30.309169
21,2022-02-07 22:49:30.330170
31,2022-02-07 22:49:30.362169
36,2022-02-07 22:49:30.398168
35,2022-02-07 22:49:30.433171
36,2022-02-07 22:49:30.470169
34,2022-02-07 22:49:30.504226
33,2022-02-07 22:49:30.539027
34,2022-02-07 22:49:30.572408
33,2022-02-07 22:49:30.607211
33,2022-02-07 22:49:30.640213
31,2022-02-07 22:49:30.672211
31,2022-02-07 22:49:30.704211
31,2022-02-07 22:49:30.735233
30,2022-02-07 22:49:30.766211
29,2022-02-07 22:49:30.797210
31,2022-02-07 22:49:30.828210
29,2022-02-07 22:49:30.857210
21,2022-02-07 22:49:30.879219
22,2022-02-07 22:49:30.901211
17,2022-02-07 22:49:30.919209
27,2022-02-07 22:49:30.946216
15,2022-02-07 22:49:30.962210
50,2022-02-07 22:49:31.013210
26,2022-02-07 22:49:31.039210
14,2022-02-07 22:49:31.053213
23,2022-02-07 22:49:31.078214
30,2022-02-07 22:49:31.108212
34,2022-02-07 22:49:31.142212
34,2022-02-07 22:49:31.176212
32,2022-02-07 22:49:31.209210
32,2022-02-07 22:49:31.243212
38,2022-02-07 22:49:31.281210
31,2022-02-07 22:49:31.313209
34,2022-02-07 22:49:31.347209
37,2022-02-07 22:49:31.384212
33,2022-02-07 22:49:31.419213
38,2022-02-07 22:49:31.456212
35,2022-02-07 22:49:31.492210
35,2022-02-07 22:49:31.527215
33,2022-02-07 22:49:31.560225
35,2022-02-07 22:49:31.596212
36,2022-02-07 22:49:31.632212
25,2022-02-07 22:49:31.658212
15,2022-02-07 22:49:31.673215
27,2022-02-07 22:49:31.701211
22,2022-02-07 22:49:31.723219
27,2022-02-07 22:49:31.751212
37,2022-02-07 22:49:31.789210
33,2022-02-07 22:49:31.822219
24,2022-02-07 22:49:31.847211
24,2022-02-07 22:49:31.872210
88,2022-02-07 22:49:31.960250
21,2022-02-07 22:49:31.982212
29,2022-02-07 22:49:32.012212
15,2022-02-07 22:49:32.028209
33,2022-02-07 22:49:32.061211
35,2022-02-07 22:49:32.096211
30,2022-02-07 22:49:32.127210
26,2022-02-07 22:49:32.154212
28,2022-02-07 22:49:32.182212
44,2022-02-07 22:49:32.227209
34,2022-02-07 22:49:32.261210
34,2022-02-07 22:49:32.295212
32,2022-02-07 22:49:32.328209
40,2022-02-07 22:49:32.368213
38,2022-02-07 22:49:32.407213
32,2022-02-07 22:49:32.440211
36,2022-02-07 22:49:32.476213
37,2022-02-07 22:49:32.514212
24,2022-02-07 22:49:32.539210
15,2022-02-07 22:49:32.554211
26,2022-02-07 22:49:32.580211
21,2022-02-07 22:49:32.603213
53,2022-02-07 22:49:32.655211
42,2022-02-07 22:49:32.697212
44,2022-02-07 22:49:32.741382
39,2022-02-07 22:49:32.780542
38,2022-02-07 22:49:32.819890
37,2022-02-07 22:49:32.857612
38,2022-02-07 22:49:32.894669
36,2022-02-07 22:49:32.931540
38,2022-02-07 22:49:32.970756
38,2022-02-07 22:49:33.008003
38,2022-02-07 22:49:33.046854
38,2022-02-07 22:49:33.085204
38,2022-02-07 22:49:33.123236
42,2022-02-07 22:49:33.166230
34,2022-02-07 22:49:33.200231
37,2022-02-07 22:49:33.238231
39,2022-02-07 22:49:33.278230
39,2022-02-07 22:49:33.317229
38,2022-02-07 22:49:33.355652
40,2022-02-07 22:49:33.395704
36,2022-02-07 22:49:33.431950
38,2022-02-07 22:49:33.470927
38,2022-02-07 22:49:33.509109
37,2022-02-07 22:49:33.546132
37,2022-02-07 22:49:33.584067
38,2022-02-07 22:49:33.622469
37,2022-02-07 22:49:33.659738
40,2022-02-07 22:49:33.700459
36,2022-02-07 22:49:33.736832
37,2022-02-07 22:49:33.774042
39,2022-02-07 22:49:33.813156
37,2022-02-07 22:49:33.850364
36,2022-02-07 22:49:33.887403
39,2022-02-07 22:49:33.925464
37,2022-02-07 22:49:33.962632
39,2022-02-07 22:49:34.001810
33,2022-02-07 22:49:34.035909
33,2022-02-07 22:49:34.068909
36,2022-02-07 22:49:34.104910
32,2022-02-07 22:49:34.138909
34,2022-02-07 22:49:34.172909
32,2022-02-07 22:49:34.204908
35,2022-02-07 22:49:34.239909
33,2022-02-07 22:49:34.272918
32,2022-02-07 22:49:34.305909
34,2022-02-07 22:49:34.339922
33,2022-02-07 22:49:34.373915
