execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance
64,2023-09-07 16:04:40.039070,41.2,73.8,409920,12,True,19.0
69,2023-09-07 16:04:40.123200,40.3,73.8,409920,12,True,26.0
66,2023-09-07 16:04:40.207346,42.1,73.8,409920,12,True,20.0
69,2023-09-07 16:04:40.291379,42.9,73.8,409920,12,True,22.0
69,2023-09-07 16:04:40.375001,43.2,73.8,409920,12,True,31.0
61,2023-09-07 16:04:40.458818,40.0,73.8,409920,12,True,20.0
60,2023-09-07 16:04:40.542855,39.8,73.8,409920,12,True,32.0
57,2023-09-07 16:04:40.626317,38.5,73.8,409920,12,True,24.0
68,2023-09-07 16:04:40.710618,42.6,73.8,409920,12,True,36.0
69,2023-09-07 16:04:40.794964,43.1,73.8,409920,12,True,20.0
60,2023-09-07 16:04:40.879337,39.6,73.8,409920,12,True,29.0
60,2023-09-07 16:04:40.964052,39.7,73.8,409920,12,True,20.0
62,2023-09-07 16:04:41.048005,40.3,73.8,409920,12,True,32.0
60,2023-09-07 16:04:41.131835,39.8,73.8,409920,12,True,22.0
62,2023-09-07 16:04:41.215715,40.3,73.8,409920,12,True,33.0
60,2023-09-07 16:04:41.299423,39.8,73.8,409920,12,True,22.0
61,2023-09-07 16:04:41.383729,40.0,73.8,409920,12,True,31.0
61,2023-09-07 16:04:41.468067,40.1,73.8,409920,12,True,22.0
60,2023-09-07 16:04:41.553153,39.6,73.8,409920,12,True,26.0
65,2023-09-07 16:04:41.636926,41.6,73.8,409920,12,True,12.0
62,2023-09-07 16:04:41.721078,40.3,73.8,409920,12,True,16.0
63,2023-09-07 16:04:41.804547,41.0,73.8,409920,12,True,6.0
56,2023-09-07 16:04:41.888929,37.9,73.8,409920,12,True,32.0
315,2023-09-07 16:04:41.918726,84.4,73.8,409920,12,True,56.0
75,2023-09-07 16:04:42.003067,42.1,73.8,409920,12,True,10.0
62,2023-09-07 16:04:42.087181,40.3,73.8,409920,12,True,12.0
69,2023-09-07 16:04:42.171238,43.2,73.8,409920,12,True,21.0
69,2023-09-07 16:04:42.255268,43.0,73.8,409920,12,True,31.0
67,2023-09-07 16:04:42.339268,42.4,73.8,409920,12,True,25.0
80,2023-09-07 16:04:42.423545,43.7,73.8,409920,12,True,35.0
64,2023-09-07 16:04:42.507290,41.2,73.8,409920,12,True,27.0
69,2023-09-07 16:04:42.591260,42.9,73.8,409920,12,True,35.0
68,2023-09-07 16:04:42.674963,42.8,73.8,409920,12,True,14.0
56,2023-09-07 16:04:42.758635,38.0,73.8,409920,12,True,16.0
74,2023-09-07 16:04:42.843897,41.8,73.8,409920,12,True,22.0
62,2023-09-07 16:04:42.927696,40.3,73.8,409920,12,True,32.0
62,2023-09-07 16:04:43.011659,40.3,73.8,409920,12,True,11.0
65,2023-09-07 16:04:43.095296,41.5,73.8,409920,12,True,8.0
67,2023-09-07 16:04:43.179402,42.4,73.8,409920,12,True,9.0
69,2023-09-07 16:04:43.263441,43.0,73.8,409920,12,True,14.0
69,2023-09-07 16:04:43.347395,43.2,73.8,409920,12,True,12.0
