execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature,pixel
19,2023-05-24 14:30:10.343746,0,0,0,0
22,2023-05-24 14:30:10.416085,0,0,0,0
20,2023-05-24 14:30:10.483387,0,0,0,0
21,2023-05-24 14:30:10.552826,0,0,0,0
21,2023-05-24 14:30:10.622429,0,0,0,0
19,2023-05-24 14:30:10.689439,0,0,0,0
17,2023-05-24 14:30:10.756927,0,0,0,0
22,2023-05-24 14:30:10.831489,0,0,0,0
33,2023-05-24 14:30:10.911548,0,0,0,0
16,2023-05-24 14:30:10.963627,0,0,0,0
17,2023-05-24 14:30:11.033901,0,0,0,0
18,2023-05-24 14:30:11.103861,0,0,0,0
20,2023-05-24 14:30:11.174626,0,0,0,0
18,2023-05-24 14:30:11.241121,0,0,0,0
23,2023-05-24 14:30:11.315293,0,0,0,0
21,2023-05-24 14:30:11.382464,0,0,0,0
20,2023-05-24 14:30:11.451024,0,0,0,0
43,2023-05-24 14:30:11.543587,0,0,0,0
17,2023-05-24 14:30:11.595397,0,0,0,0
18,2023-05-24 14:30:11.664817,0,0,0,0
21,2023-05-24 14:30:11.736690,0,0,0,0
43,2023-05-24 14:30:11.827653,0,0,0,0
21,2023-05-24 14:30:11.883495,0,0,0,0
19,2023-05-24 14:30:11.950322,0,0,0,0
23,2023-05-24 14:30:12.023524,0,0,0,0
21,2023-05-24 14:30:12.090241,0,0,0,0
29,2023-05-24 14:30:12.167370,0,0,0,0
20,2023-05-24 14:30:12.226730,0,0,0,0
22,2023-05-24 14:30:12.297817,0,0,0,0
16,2023-05-24 14:30:12.360567,0,0,0,0
21,2023-05-24 14:30:12.433429,0,0,0,0
18,2023-05-24 14:30:12.498394,0,0,0,0
20,2023-05-24 14:30:12.569177,0,0,0,0
29,2023-05-24 14:30:12.646133,0,0,0,0
20,2023-05-24 14:30:12.705690,0,0,0,0
18,2023-05-24 14:30:12.771983,0,0,0,0
20,2023-05-24 14:30:12.842012,0,0,0,0
24,2023-05-24 14:30:12.913814,0,0,0,0
21,2023-05-24 14:30:12.979166,0,0,0,0
18,2023-05-24 14:30:13.044632,0,0,0,0
51,2023-05-24 14:30:13.163747,0,0,0,0
29,2023-05-24 14:30:13.228428,0,0,0,0
18,2023-05-24 14:30:13.286459,0,0,0,0
22,2023-05-24 14:30:13.359308,0,0,0,0
24,2023-05-24 14:30:13.430120,0,0,0,0
19,2023-05-24 14:30:13.493772,0,0,0,0
18,2023-05-24 14:30:13.561520,0,0,0,0
17,2023-05-24 14:30:13.629723,0,0,0,0
18,2023-05-24 14:30:13.699301,0,0,0,0
17,2023-05-24 14:30:13.767401,0,0,0,0
19,2023-05-24 14:30:13.837970,0,0,0,0
18,2023-05-24 14:30:13.906062,0,0,0,0
18,2023-05-24 14:30:13.975353,0,0,0,0
17,2023-05-24 14:30:14.042995,0,0,0,0
16,2023-05-24 14:30:14.111284,0,0,0,0
30,2023-05-24 14:30:14.193840,0,0,0,0
21,2023-05-24 14:30:14.254043,0,0,0,0
27,2023-05-24 14:30:14.329066,0,0,0,0
16,2023-05-24 14:30:14.387189,0,0,0,0
16,2023-05-24 14:30:14.455842,0,0,0,0
22,2023-05-24 14:30:14.530440,0,0,0,0
19,2023-05-24 14:30:14.596312,0,0,0,0
17,2023-05-24 14:30:14.663126,0,0,0,0
21,2023-05-24 14:30:14.735453,0,0,0,0
34,2023-05-24 14:30:14.816755,0,0,0,0
18,2023-05-24 14:30:14.870373,0,0,0,0
20,2023-05-24 14:30:14.941041,0,0,0,0
18,2023-05-24 14:30:15.007902,0,0,0,0
17,2023-05-24 14:30:15.075724,0,0,0,0
17,2023-05-24 14:30:15.144066,0,0,0,0
16,2023-05-24 14:30:15.212134,0,0,0,0
16,2023-05-24 14:30:15.281676,0,0,0,0
15,2023-05-24 14:30:15.349653,0,0,0,0
15,2023-05-24 14:30:15.419279,0,0,0,0
17,2023-05-24 14:30:15.490336,0,0,0,0
19,2023-05-24 14:30:15.560838,0,0,0,0
28,2023-05-24 14:30:15.638838,0,0,0,0
18,2023-05-24 14:30:15.697855,0,0,0,0
19,2023-05-24 14:30:15.767385,0,0,0,0
34,2023-05-24 14:30:15.851032,0,0,0,0
21,2023-05-24 14:30:15.907854,0,0,0,0
26,2023-05-24 14:30:15.982128,0,0,0,0
23,2023-05-24 14:30:16.048274,0,0,0,0
21,2023-05-24 14:30:16.115224,0,0,0,0
21,2023-05-24 14:30:16.184000,0,0,0,0
21,2023-05-24 14:30:16.252920,0,0,0,0
18,2023-05-24 14:30:16.318331,0,0,0,0
19,2023-05-24 14:30:16.387899,0,0,0,0
21,2023-05-24 14:30:16.458866,0,0,0,0
19,2023-05-24 14:30:16.525119,0,0,0,0
23,2023-05-24 14:30:16.597591,0,0,0,0
18,2023-05-24 14:30:16.661106,0,0,0,0
23,2023-05-24 14:30:16.735058,0,0,0,0
18,2023-05-24 14:30:16.798882,0,0,0,0
20,2023-05-24 14:30:16.868959,0,0,0,0
18,2023-05-24 14:30:16.935654,0,0,0,0
26,2023-05-24 14:30:17.012282,0,0,0,0
18,2023-05-24 14:30:17.073442,0,0,0,0
20,2023-05-24 14:30:17.144650,0,0,0,0
40,2023-05-24 14:30:17.234069,0,0,0,0
13,2023-05-24 14:30:17.282771,0,0,0,0
16,2023-05-24 14:30:17.354254,0,0,0,0
19,2023-05-24 14:30:17.425304,0,0,0,0
26,2023-05-24 14:30:17.500716,0,0,0,0
21,2023-05-24 14:30:17.564676,0,0,0,0
31,2023-05-24 14:30:17.643894,0,0,0,0
17,2023-05-24 14:30:17.698493,0,0,0,0
18,2023-05-24 14:30:17.768503,0,0,0,0
18,2023-05-24 14:30:17.836968,0,0,0,0
20,2023-05-24 14:30:17.908199,0,0,0,0
21,2023-05-24 14:30:17.977608,0,0,0,0
20,2023-05-24 14:30:18.045730,0,0,0,0
50,2023-05-24 14:30:18.144936,0,0,0,0
19,2023-05-24 14:30:18.199046,0,0,0,0
22,2023-05-24 14:30:18.270686,0,0,0,0
19,2023-05-24 14:30:18.336711,0,0,0,0
