execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,bitrate,success,within_time,distance
7,2023-05-31 15:00:03.066818,84.6,46.8,102240,30,3067200,True,True,13
7,2023-05-31 15:00:03.074309,91.7,46.8,102240,30,3067200,True,True,9
7,2023-05-31 15:00:03.081857,85.7,46.8,102240,30,3067200,True,True,11
7,2023-05-31 15:00:03.089509,91.7,46.8,102240,30,3067200,True,True,5
7,2023-05-31 15:00:03.096950,90.9,46.8,102240,30,3067200,True,True,11
7,2023-05-31 15:00:03.104527,75.0,46.8,102240,30,3067200,True,True,13
7,2023-05-31 15:00:03.112053,92.9,46.8,102240,30,3067200,True,True,17
7,2023-05-31 15:00:03.119826,85.7,46.8,102240,30,3067200,True,True,13
7,2023-05-31 15:00:03.127551,91.7,46.8,102240,30,3067200,True,True,17
7,2023-05-31 15:00:03.135186,91.7,46.8,102240,30,3067200,True,True,13
7,2023-05-31 15:00:03.142690,84.6,46.8,102240,30,3067200,True,True,11
7,2023-05-31 15:00:03.150135,91.7,46.8,102240,30,3067200,True,True,13
8,2023-05-31 15:00:03.158419,85.7,46.8,102240,30,3067200,True,True,9
7,2023-05-31 15:00:03.166150,90.9,46.8,102240,30,3067200,True,True,11
7,2023-05-31 15:00:03.173570,91.7,46.8,102240,30,3067200,True,True,7
7,2023-05-31 15:00:03.181020,86.7,46.8,102240,30,3067200,True,True,5
7,2023-05-31 15:00:03.188905,91.7,46.8,102240,30,3067200,True,True,9
7,2023-05-31 15:00:03.196875,85.7,46.8,102240,30,3067200,True,True,3
7,2023-05-31 15:00:03.205042,88.2,46.8,102240,30,3067200,True,True,0
7,2023-05-31 15:00:03.213161,91.7,46.8,102240,30,3067200,True,True,3
7,2023-05-31 15:00:03.220690,75.0,46.8,102240,30,3067200,True,True,2
7,2023-05-31 15:00:03.228340,92.3,46.8,102240,30,3067200,True,True,4
7,2023-05-31 15:00:03.235977,91.7,46.8,102240,30,3067200,True,True,4
6,2023-05-31 15:00:03.243198,85.7,46.8,102240,30,3067200,True,True,4
7,2023-05-31 15:00:03.251310,91.7,46.8,102240,30,3067200,True,True,10
7,2023-05-31 15:00:03.258876,84.6,46.8,102240,30,3067200,True,True,9
6,2023-05-31 15:00:03.266063,92.3,46.8,102240,30,3067200,True,True,8
6,2023-05-31 15:00:03.272867,85.7,46.8,102240,30,3067200,True,True,10
6,2023-05-31 15:00:03.279601,90.9,46.8,102240,30,3067200,True,True,6
6,2023-05-31 15:00:03.286712,85.7,46.8,102240,30,3067200,True,True,11
6,2023-05-31 15:00:03.293946,91.7,46.8,102240,30,3067200,True,True,10
6,2023-05-31 15:00:03.300793,85.7,46.8,102240,30,3067200,True,True,14
6,2023-05-31 15:00:03.307721,90.9,46.8,102240,30,3067200,True,True,13
6,2023-05-31 15:00:03.314878,84.6,46.8,102240,30,3067200,True,True,11
7,2023-05-31 15:00:03.322391,92.3,46.8,102240,30,3067200,True,True,13
7,2023-05-31 15:00:03.330025,84.6,46.8,102240,30,3067200,True,True,11
7,2023-05-31 15:00:03.337853,92.3,46.9,102240,30,3067200,True,True,18
7,2023-05-31 15:00:03.345661,91.7,46.9,102240,30,3067200,True,True,13
7,2023-05-31 15:00:03.353497,83.3,46.9,102240,30,3067200,True,True,14
