delta,timestamp
10,2022-02-07 22:49:21.721151
14,2022-02-07 22:49:21.756150
15,2022-02-07 22:49:21.792145
14,2022-02-07 22:49:21.829146
13,2022-02-07 22:49:21.854146
12,2022-02-07 22:49:21.879151
15,2022-02-07 22:49:21.910149
15,2022-02-07 22:49:21.926149
12,2022-02-07 22:49:21.955147
14,2022-02-07 22:49:21.994146
12,2022-02-07 22:49:22.023146
13,2022-02-07 22:49:22.069147
13,2022-02-07 22:49:22.101158
22,2022-02-07 22:49:22.147146
49,2022-02-07 22:49:22.214145
15,2022-02-07 22:49:22.245147
15,2022-02-07 22:49:22.261146
12,2022-02-07 22:49:22.288145
11,2022-02-07 22:49:22.322144
13,2022-02-07 22:49:22.353147
13,2022-02-07 22:49:22.382146
11,2022-02-07 22:49:22.413147
15,2022-02-07 22:49:22.451147
15,2022-02-07 22:49:22.489152
13,2022-02-07 22:49:22.520148
14,2022-02-07 22:49:22.560146
13,2022-02-07 22:49:22.589145
13,2022-02-07 22:49:22.627145
14,2022-02-07 22:49:22.669155
10,2022-02-07 22:49:22.694151
12,2022-02-07 22:49:22.724146
11,2022-02-07 22:49:22.757145
12,2022-02-07 22:49:22.790146
11,2022-02-07 22:49:22.825144
13,2022-02-07 22:49:22.860145
11,2022-02-07 22:49:22.895146
12,2022-02-07 22:49:22.927146
12,2022-02-07 22:49:22.960152
14,2022-02-07 22:49:22.995152
12,2022-02-07 22:49:23.026162
11,2022-02-07 22:49:23.060148
10,2022-02-07 22:49:23.094145
13,2022-02-07 22:49:23.131155
10,2022-02-07 22:49:23.165146
12,2022-02-07 22:49:23.200152
11,2022-02-07 22:49:23.234147
12,2022-02-07 22:49:23.270206
11,2022-02-07 22:49:23.301178
10,2022-02-07 22:49:23.336144
11,2022-02-07 22:49:23.371145
12,2022-02-07 22:49:23.407146
14,2022-02-07 22:49:23.443149
14,2022-02-07 22:49:23.478149
11,2022-02-07 22:49:23.510152
12,2022-02-07 22:49:23.544152
11,2022-02-07 22:49:23.579144
11,2022-02-07 22:49:23.613144
11,2022-02-07 22:49:23.644158
11,2022-02-07 22:49:23.678156
11,2022-02-07 22:49:23.713145
13,2022-02-07 22:49:23.750147
14,2022-02-07 22:49:23.788149
14,2022-02-07 22:49:23.819150
12,2022-02-07 22:49:23.850154
12,2022-02-07 22:49:23.884151
11,2022-02-07 22:49:23.917170
13,2022-02-07 22:49:23.956145
12,2022-02-07 22:49:23.986151
10,2022-02-07 22:49:24.020145
11,2022-02-07 22:49:24.053145
10,2022-02-07 22:49:24.090144
12,2022-02-07 22:49:24.123150
14,2022-02-07 22:49:24.160145
13,2022-02-07 22:49:24.189151
11,2022-02-07 22:49:24.219146
12,2022-02-07 22:49:24.252151
11,2022-02-07 22:49:24.283146
11,2022-02-07 22:49:24.313204
13,2022-02-07 22:49:24.347144
11,2022-02-07 22:49:24.379146
13,2022-02-07 22:49:24.412149
14,2022-02-07 22:49:24.449146
14,2022-02-07 22:49:24.485149
13,2022-02-07 22:49:24.517149
13,2022-02-07 22:49:24.551145
11,2022-02-07 22:49:24.583145
12,2022-02-07 22:49:24.615147
13,2022-02-07 22:49:24.647147
12,2022-02-07 22:49:24.678147
11,2022-02-07 22:49:24.708146
11,2022-02-07 22:49:24.743146
12,2022-02-07 22:49:24.769156
13,2022-02-07 22:49:24.801149
10,2022-02-07 22:49:24.828146
10,2022-02-07 22:49:24.860145
10,2022-02-07 22:49:24.892144
11,2022-02-07 22:49:24.927145
10,2022-02-07 22:49:24.961145
10,2022-02-07 22:49:24.993402
10,2022-02-07 22:49:25.026402
11,2022-02-07 22:49:25.062099
10,2022-02-07 22:49:25.096127
13,2022-02-07 22:49:25.139159
12,2022-02-07 22:49:25.171161
12,2022-02-07 22:49:25.208157
12,2022-02-07 22:49:25.245163
13,2022-02-07 22:49:25.284162
11,2022-02-07 22:49:25.319158
9,2022-02-07 22:49:25.357157
11,2022-02-07 22:49:25.395185
9,2022-02-07 22:49:25.434159
11,2022-02-07 22:49:25.457159
11,2022-02-07 22:49:25.478159
12,2022-02-07 22:49:25.492181
13,2022-02-07 22:49:25.519166
12,2022-02-07 22:49:25.532181
12,2022-02-07 22:49:25.556162
10,2022-02-07 22:49:25.568157
11,2022-02-07 22:49:25.590158
11,2022-02-07 22:49:25.611158
11,2022-02-07 22:49:25.646186
12,2022-02-07 22:49:25.682162
11,2022-02-07 22:49:25.719157
12,2022-02-07 22:49:25.757159
11,2022-02-07 22:49:25.790158
11,2022-02-07 22:49:25.831165
12,2022-02-07 22:49:25.870171
11,2022-02-07 22:49:25.895166
11,2022-02-07 22:49:25.920163
11,2022-02-07 22:49:25.946165
12,2022-02-07 22:49:25.973160
11,2022-02-07 22:49:26.002159
12,2022-02-07 22:49:26.040178
10,2022-02-07 22:49:26.067158
11,2022-02-07 22:49:26.099167
11,2022-02-07 22:49:26.138157
11,2022-02-07 22:49:26.169180
11,2022-02-07 22:49:26.203185
10,2022-02-07 22:49:26.235157
10,2022-02-07 22:49:26.266158
11,2022-02-07 22:49:26.299244
11,2022-02-07 22:49:26.333158
13,2022-02-07 22:49:26.372224
13,2022-02-07 22:49:26.406219
13,2022-02-07 22:49:26.443159
12,2022-02-07 22:49:26.475157
14,2022-02-07 22:49:26.507159
12,2022-02-07 22:49:26.543159
13,2022-02-07 22:49:26.574159
11,2022-02-07 22:49:26.597164
12,2022-02-07 22:49:26.623158
12,2022-02-07 22:49:26.647159
14,2022-02-07 22:49:26.675158
12,2022-02-07 22:49:26.704158
14,2022-02-07 22:49:26.743158
12,2022-02-07 22:49:26.773180
12,2022-02-07 22:49:26.828167
13,2022-02-07 22:49:26.867171
11,2022-02-07 22:49:26.903160
12,2022-02-07 22:49:26.938171
12,2022-02-07 22:49:26.975157
13,2022-02-07 22:49:27.011383
12,2022-02-07 22:49:27.048524
11,2022-02-07 22:49:27.081526
11,2022-02-07 22:49:27.119747
10,2022-02-07 22:49:27.163762
12,2022-02-07 22:49:27.196766
11,2022-02-07 22:49:27.231768
16,2022-02-07 22:49:27.273751
14,2022-02-07 22:49:27.315694
11,2022-02-07 22:49:27.341746
11,2022-02-07 22:49:27.380711
11,2022-02-07 22:49:27.415685
12,2022-02-07 22:49:27.451699
12,2022-02-07 22:49:27.486697
9,2022-02-07 22:49:27.518802
11,2022-02-07 22:49:27.553801
12,2022-02-07 22:49:27.588981
11,2022-02-07 22:49:27.622042
10,2022-02-07 22:49:27.655148
11,2022-02-07 22:49:27.690143
11,2022-02-07 22:49:27.728145
9,2022-02-07 22:49:27.761154
9,2022-02-07 22:49:27.802194
11,2022-02-07 22:49:27.838887
10,2022-02-07 22:49:27.869867
10,2022-02-07 22:49:27.904889
11,2022-02-07 22:49:27.939865
11,2022-02-07 22:49:27.972866
11,2022-02-07 22:49:27.998868
11,2022-02-07 22:49:28.024866
10,2022-02-07 22:49:28.047866
12,2022-02-07 22:49:28.074929
11,2022-02-07 22:49:28.098870
12,2022-02-07 22:49:28.133876
